airport,postcodePrefix,serviceType,price,note,enabled,airportCode,direction,carType,driverPayout,nightSurcharge,peakSurcharge,active
LHR,LONDON_Z1_2,pickup,65,airport; London Zone 1-2; LHR pickup; margin GBP17,true,LHR,pickup,standard,48,10,10,true
LHR,LONDON_Z1_2,dropoff,58,airport; London Zone 1-2; LHR dropoff; margin GBP17,true,LHR,dropoff,standard,41,10,10,true
LHR,E14,pickup,85,airport; E14 Canary Wharf; LHR pickup; margin GBP20,true,LHR,pickup,standard,65,10,15,true
LHR,E14,dropoff,78,airport; E14 Canary Wharf; LHR dropoff; margin GBP20,true,LHR,dropoff,standard,58,10,15,true
LHR,CB1_CB5,pickup,165,airport; Cambridge CB1-CB5; LHR pickup; margin GBP25,true,LHR,pickup,standard,140,15,10,true
LHR,CB1_CB5,dropoff,155,airport; Cambridge CB1-CB5; LHR dropoff; margin GBP25,true,LHR,dropoff,standard,130,15,10,true
LHR,OX1_OX4,pickup,160,airport; Oxford OX1-OX4; LHR pickup; margin GBP25,true,LHR,pickup,standard,135,15,10,true
LHR,OX1_OX4,dropoff,150,airport; Oxford OX1-OX4; LHR dropoff; margin GBP25,true,LHR,dropoff,standard,125,15,10,true
LHR,M1_M4,pickup,330,airport; Manchester M1-M4; LHR pickup; margin GBP35,true,LHR,pickup,standard,295,20,10,true
LHR,M1_M4,dropoff,320,airport; Manchester M1-M4; LHR dropoff; margin GBP35,true,LHR,dropoff,standard,285,20,10,true
LGW,LONDON_Z1_2,pickup,95,airport; London Zone 1-2; LGW pickup; margin GBP20,true,LGW,pickup,standard,75,10,10,true
LGW,LONDON_Z1_2,dropoff,88,airport; London Zone 1-2; LGW dropoff; margin GBP20,true,LGW,dropoff,standard,68,10,10,true
LGW,E14,pickup,105,airport; E14 Canary Wharf; LGW pickup; margin GBP21,true,LGW,pickup,standard,84,10,15,true
LGW,E14,dropoff,98,airport; E14 Canary Wharf; LGW dropoff; margin GBP21,true,LGW,dropoff,standard,77,10,15,true
LGW,CB1_CB5,pickup,220,airport; Cambridge CB1-CB5; LGW pickup; margin GBP30,true,LGW,pickup,standard,190,15,10,true
LGW,CB1_CB5,dropoff,210,airport; Cambridge CB1-CB5; LGW dropoff; margin GBP30,true,LGW,dropoff,standard,180,15,10,true
LGW,OX1_OX4,pickup,210,airport; Oxford OX1-OX4; LGW pickup; margin GBP30,true,LGW,pickup,standard,180,15,10,true
